,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
0,0 DM,6,Has credits in other banks,radio/TV,1169,Unknown/No savings,employed 7 years or more,4,male single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes,1
1,<200 DM,48,Existing credits paid duly till now,radio/TV,5951,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,none,yes,2
2,No account,12,Has credits in other banks,education,2096,<100 DM,employed from 4 to 7 years,2,male single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,1
3,0 DM,42,Existing credits paid duly till now,furnitures,7882,<100 DM,employed from 4 to 7 years,2,male single,guarantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,none,yes,1
4,0 DM,24,Delay in paying in past,new car,4870,<100 DM,employed from 1 to 4 years,3,male single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,none,yes,2
5,No account,36,Existing credits paid duly till now,education,9055,Unknown/No savings,employed from 1 to 4 years,2,male single,none,4,unknown/no property,35,none,for free,1,unskilled - resident,2,yes,yes,1
6,No account,24,Existing credits paid duly till now,furnitures,2835,500-1000 DM,employed 7 years or more,3,male single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,none,yes,1
7,<200 DM,36,Existing credits paid duly till now,used car,6948,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",35,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
8,No account,12,Existing credits paid duly till now,radio/TV,3059,>1000 DM,employed from 4 to 7 years,2,male divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,1
9,<200 DM,30,Has credits in other banks,new car,5234,<100 DM,unemployed,4,male married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/self-employed/highly qualified employee/officer,1,none,yes,2
10,<200 DM,12,Existing credits paid duly till now,new car,1295,<100 DM,employed under 1 year,3,female divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee/official,1,none,yes,2
11,0 DM,48,Existing credits paid duly till now,business,4308,<100 DM,employed under 1 year,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,none,yes,2
12,<200 DM,12,Existing credits paid duly till now,radio/TV,1567,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,own,1,skilled employee/official,1,yes,yes,1
13,0 DM,24,Has credits in other banks,new car,1199,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes,2
14,0 DM,15,Existing credits paid duly till now,new car,1403,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee/official,1,none,yes,1
15,0 DM,24,Existing credits paid duly till now,radio/TV,1282,100-500 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes,2
16,No account,24,Has credits in other banks,radio/TV,2424,Unknown/No savings,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,none,yes,1
17,0 DM,30,No credits taken,business,8072,Unknown/No savings,employed under 1 year,2,male single,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee/official,1,none,yes,1
18,<200 DM,24,Existing credits paid duly till now,used car,12579,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
19,No account,24,Existing credits paid duly till now,radio/TV,3430,500-1000 DM,employed 7 years or more,3,male single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,2,yes,yes,1
20,No account,9,Has credits in other banks,new car,2134,<100 DM,employed from 1 to 4 years,4,male single,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee/official,1,yes,yes,1
21,0 DM,6,Existing credits paid duly till now,radio/TV,2647,500-1000 DM,employed from 1 to 4 years,2,male single,none,3,real estate,44,none,rent,1,skilled employee/official,2,none,yes,1
22,0 DM,10,Has credits in other banks,new car,2241,<100 DM,employed under 1 year,1,male single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,1
23,<200 DM,12,Has credits in other banks,used car,1804,100-500 DM,employed under 1 year,3,male single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,none,yes,1
24,No account,10,Has credits in other banks,furnitures,2069,Unknown/No savings,employed from 1 to 4 years,2,male married/widowed,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee/official,1,none,no,1
25,0 DM,6,Existing credits paid duly till now,furnitures,1374,<100 DM,employed from 1 to 4 years,1,male single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1
26,No account,6,No credits taken,radio/TV,426,<100 DM,employed 7 years or more,4,male married/widowed,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes,1
27,>=200 DM,12,All credits paid duly,radio/TV,409,>1000 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,none,yes,1
28,<200 DM,7,Existing credits paid duly till now,radio/TV,2415,<100 DM,employed from 1 to 4 years,3,male single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,none,yes,1
29,0 DM,60,Delay in paying in past,business,6836,<100 DM,employed 7 years or more,3,male single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,yes,yes,2
30,<200 DM,18,Existing credits paid duly till now,business,1913,>1000 DM,employed under 1 year,3,male married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,1
31,0 DM,24,Existing credits paid duly till now,furnitures,4020,<100 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee/official,1,none,yes,1
32,<200 DM,18,Existing credits paid duly till now,new car,5866,100-500 DM,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee/official,1,yes,yes,1
33,No account,12,Has credits in other banks,business,1264,Unknown/No savings,employed 7 years or more,4,male single,none,4,unknown/no property,57,none,rent,1,unskilled - resident,1,none,yes,1
